brand,model,variant,year,fuel_type,transmission_type,km_driven,selling_price,seats,max_power,engine_type,vehicle_age
maruti,maruti wagon r,lxi cng,2016,cng,manual,69162.0,370000.0,5.0,58.16,k10b engine,10
maruti,maruti celerio,green vxi,2015,cng,manual,45864.0,365000.0,5.0,58.2,k10b engine,11
honda,honda amaze,s plus i-vtec,2015,cng,manual,81506.0,421000.0,5.0,86.7,i-vtec petrol engine,11
maruti,maruti wagon r,lxi cng,2013,cng,manual,115893.0,240000.0,5.0,58.2,k series petrol engine,13
maruti,maruti ertiga,vxi cng,2022,cng,manual,18900.0,1175000.0,7.0,86.63,k15c,4
maruti,maruti wagon r,lxi cng,2012,cng,manual,60000.0,250000.0,5.0,58.16,k10b engine,14
maruti,maruti alto,green lxi (cng),2010,cng,manual,67000.0,145000.0,5.0,38.4,in line engine,16
hyundai,hyundai grand i10,1.2 kappa magna cng bsiv,2017,cng,manual,58000.0,465000.0,5.0,65.39,kappa vtvt petrol engine,9
maruti,maruti wagon r,cng lxi,2021,cng,manual,54097.0,560000.0,5.0,58.33,k10b petrol engine,5
maruti,maruti wagon r,lxi cng,2011,cng,manual,67000.0,215000.0,5.0,58.16,k10b engine,15
maruti,maruti celerio,vxi cng optional bsiv,2018,cng,manual,98083.0,425000.0,5.0,58.33,k10b engine,8
maruti,maruti celerio,vxi cng bsiv,2019,cng,manual,80000.0,380000.0,5.0,58.33,k10b engine,7
maruti,maruti ertiga,vxi cng,2017,cng,manual,39000.0,795000.0,7.0,80.46,k14b petrol engine,9
maruti,maruti wagon r,lxi cng,2014,cng,manual,34889.0,350000.0,5.0,58.16,k10b engine,12
maruti,maruti wagon r,cng lxi opt,2022,cng,manual,31758.0,650000.0,5.0,58.33,k10b petrol engine,4
maruti,maruti wagon r,lxi cng,2021,cng,manual,23000.0,599000.0,5.0,58.16,k10b engine,5
hyundai,hyundai grand i10,asta cng,2014,cng,manual,60000.0,425000.0,5.0,82.0,kappa vtvt petrol engine,12
maruti,maruti wagon r,lxi cng,2016,cng,manual,43413.0,317736.0,5.0,58.16,k10b engine,10
maruti,maruti ertiga tour,std cng 2019-2022,2020,cng,manual,60000.0,1000000.0,7.0,91.18,k15b,6
maruti,maruti celerio,green vxi,2014,cng,manual,67720.0,317400.0,5.0,58.2,k10b engine,12
maruti,maruti wagon r,lxi cng,2013,cng,manual,99821.0,250000.0,5.0,58.16,k10b engine,13
maruti,maruti wagon r,lxi cng,2014,cng,manual,67477.0,380000.0,5.0,58.16,k10b engine,12
maruti,maruti wagon r,cng lxi,2021,cng,manual,24158.0,600000.0,5.0,58.33,k10b petrol engine,5
maruti,maruti wagon r,cng lxi bsiv,2014,cng,manual,35000.0,325000.0,5.0,67.04,k10b petrol engine,12
maruti,maruti swift dzire tour,1.2 s std cng opt,2021,cng,manual,37000.0,600000.0,5.0,70.4,vvt,5
maruti,maruti wagon r,cng lxi,2021,cng,manual,32530.0,613000.0,5.0,58.33,k10b petrol engine,5
maruti,maruti wagon r,cng lxi,2016,cng,manual,90300.0,285000.0,5.0,58.33,k10b petrol engine,10
maruti,maruti wagon r,cng lxi bsiv,2019,cng,manual,43000.0,424999.0,5.0,67.04,k10b petrol engine,7
maruti,maruti wagon r,cng lxi,2021,cng,manual,28061.0,613000.0,5.0,58.33,k10b petrol engine,5
maruti,maruti wagon r,lxi cng,2012,cng,manual,60000.0,250000.0,5.0,58.2,k series petrol engine,14
maruti,maruti wagon r,cng lxi,2020,cng,manual,40000.0,600000.0,5.0,58.33,k10b petrol engine,6
maruti,maruti eeco,flexi green,2017,cng,manual,95000.0,341000.0,5.0,63.0,in-line engine,9
maruti,maruti wagon r,lxi cng,2017,cng,manual,40594.0,439112.0,5.0,58.16,k10b engine,9
maruti,maruti wagon r,lxi cng,2012,cng,manual,91495.0,200000.0,5.0,58.2,k series petrol engine,14
maruti,maruti wagon r,lxi cng optional,2020,cng,manual,37900.0,534000.0,5.0,58.16,k10b engine,6
maruti,maruti wagon r,lxi cng,2015,cng,manual,80000.0,395000.0,5.0,58.16,k10b engine,11
maruti,maruti wagon r,lxi cng,2015,cng,manual,70000.0,385000.0,5.0,58.16,k10b engine,11
maruti,maruti wagon r,lxi cng optional,2018,cng,manual,80000.0,250000.0,5.0,58.16,k10b engine,8
maruti,maruti wagon r,lxi cng,2018,cng,manual,200000.0,325000.0,5.0,58.16,k10b engine,8
maruti,maruti estilo,lxi cng,2010,cng,manual,57000.0,195000.0,5.0,67.1,k series petrol engine,16
maruti,maruti ertiga,vxi cng,2016,cng,manual,30087.0,600000.0,7.0,80.46,k14b petrol engine,10
maruti,maruti eeco,cng 5 seater ac bsiv,2017,cng,manual,57953.0,350000.0,5.0,61.7,in-line engine,9
maruti,maruti wagon r,cng lxi bsiv,2013,cng,manual,74000.0,305000.0,5.0,67.04,k10b petrol engine,13
maruti,maruti eeco cargo,std cng ac 2021-2022,2021,cng,manual,30000.0,500000.0,2.0,61.68,g12b,5
maruti,maruti wagon r,lxi cng,2015,cng,manual,70000.0,320000.0,5.0,58.16,k10b engine,11
maruti,maruti ertiga,vxi cng,2014,cng,manual,41558.0,570000.0,7.0,80.9,k series engine,12
maruti,maruti alto k10,lxi cng,2015,cng,manual,45834.0,260000.0,4.0,58.3,k series petrol engine,11
maruti,maruti ertiga,vxi cng,2015,cng,manual,90309.0,715000.0,7.0,80.9,k series engine,11
maruti,maruti alto 800,lxi cng,2019,cng,manual,89132.0,330000.0,5.0,47.3,f8d petrol engine,7
maruti,maruti wagon r,cng lxi,2018,cng,manual,92000.0,410000.0,5.0,58.33,k10b petrol engine,8
maruti,maruti wagon r,cng lxi opt,2013,cng,manual,80000.0,290000.0,5.0,58.33,k10b petrol engine,13
hyundai,hyundai aura,s cng,2021,cng,manual,40000.0,750000.0,5.0,68.05,1.2 l bi-fuel,5
